Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:49:39.000,-2743946.7706885324,4701345.365932787,3312918.417813973,0,0
2025/01/17 08:49:40.000,-2743947.4175271154,4701344.689683373,3312918.1949834633,0,0
2025/01/17 08:49:41.000,-2743946.742551033,4701346.144765696,3312918.524512106,0,0
2025/01/17 08:49:42.000,-2743947.168115438,4701344.622158368,3312918.116941067,0,0
2025/01/17 08:49:43.000,-2743947.4804583974,4701346.396743972,3312918.8259342583,0,0
2025/01/17 08:49:44.000,-2743921.375126576,4701365.110918995,3312919.74104111,10,1
2025/01/17 08:49:45.000,-2743921.5468353075,4701364.8883087905,3312919.6800456773,9,1
2025/01/17 08:49:46.000,-2743948.3768348442,4701348.842902058,3312919.6727661644,0,0
2025/01/17 08:49:47.000,-2743948.9778443677,4701349.0619974295,3312919.8498792457,0,0
2025/01/17 08:49:48.000,-2743948.6857956187,4701350.327657457,3312920.360113468,0,0
2025/01/17 08:49:49.000,-2743922.667154063,4701367.28937253,3312920.809885542,10,1
2025/01/17 08:49:50.000,-2743922.3408943936,4701365.548088371,3312925.8282027612,10,5
2025/01/17 08:49:51.000,-2743922.995698213,4701367.8487035,3312920.760659078,10,1
2025/01/17 08:49:52.000,-2743923.0341132693,4701367.295558564,3312920.5509477407,10,1
2025/01/17 08:49:53.000,-2743949.524792419,4701350.351943196,3312920.394380451,0,0
2025/01/17 08:49:54.000,-2743922.837449876,4701367.5174436085,3312921.179782583,10,1
2025/01/17 08:49:55.000,-2743923.172117137,4701367.572719215,3312921.357125076,10,1
2025/01/17 08:49:56.000,-2743923.2192235854,4701366.770595888,3312921.0676308204,10,1
2025/01/17 08:49:57.000,-2743922.981130004,4701366.621061669,3312920.9708841057,10,1
2025/01/17 08:49:58.000,-2743948.932221113,4701349.381894993,3312920.171123106,0,0
2025/01/17 08:49:59.000,-2743948.8367380747,4701346.769212425,3312919.2040788853,0,0
2025/01/17 08:50:00.000,-2743948.121294576,4701349.062672585,3312919.1806308473,0,0
2025/01/17 08:50:01.000,-2743922.6971988766,4701367.958813539,3312920.3183018514,10,27
2025/01/17 08:50:02.000,-2743921.765830738,4701366.806270885,3312919.8940959554,10,12
2025/01/17 08:50:03.000,-2743921.3892739806,4701363.406811711,3312918.9900755445,10,1
2025/01/17 08:50:04.000,-2743921.3002185337,4701363.621384161,3312918.701351672,10,1
2025/01/17 08:50:05.000,-2743920.4641675986,4701362.299571059,3312918.305439426,9,1
2025/01/17 08:50:06.000,-2743946.2753978614,4701343.673697717,3312917.3210007786,0,0
2025/01/17 08:50:07.000,-2743946.21861706,4701342.427638527,3312916.7950658775,0,0
2025/01/17 08:50:08.000,-2743947.4308110364,4701341.562975678,3312916.632058404,0,0
2025/01/17 08:50:09.000,-2743947.814391632,4701343.846183098,3312917.3843490137,0,0
2025/01/17 08:50:10.000,-2743947.777513401,4701345.767106791,3312917.276464778,0,0
2025/01/17 08:50:11.000,-2743948.158399837,4701346.533916749,3312917.59974336,0,0
2025/01/17 08:50:12.000,-2743948.6001375685,4701344.043101875,3312916.9459395865,0,0
2025/01/17 08:50:14.000,-2743948.8885122538,4701344.615218529,3312917.3826094097,0,0
2025/01/17 08:50:15.000,-2743950.245668513,4701339.454912689,3312916.4769351804,0,0
2025/01/17 08:50:16.000,-2743951.0099178827,4701335.543696131,3312915.7107621874,0,0
2025/01/17 08:50:17.000,-2743950.9406873723,4701337.111199997,3312916.539783012,0,0
2025/01/17 08:50:18.000,-2743951.454270556,4701335.796136551,3312916.342431978,0,0
2025/01/17 08:50:19.000,-2743952.1447708323,4701334.487341876,3312915.867806178,0,0
2025/01/17 08:50:20.000,-2743952.6245077956,4701333.774148564,3312916.0353156696,0,0
2025/01/17 08:50:21.000,-2743951.745834417,4701329.96680762,3312915.2367106853,0,0
2025/01/17 08:50:22.000,-2743951.441430611,4701329.699138171,3312915.2132733,0,0
2025/01/17 08:50:23.000,-2743952.256210996,4701325.397854609,3312914.1451155306,0,0
2025/01/17 08:50:24.000,-2743952.9489186653,4701323.789023151,3312913.709927509,0,0
2025/01/17 08:50:25.000,-2743952.777101075,4701322.342672072,3312913.3406480164,0,0
2025/01/17 08:50:26.000,-2743952.421253968,4701325.659331592,3312913.9163880995,0,0
2025/01/17 08:50:27.000,-2743951.537841216,4701324.141221031,3312913.55151255,0,0
2025/01/17 08:50:28.000,-2743948.6404339955,4701319.998732855,3312911.806561248,0,0
2025/01/17 08:50:29.000,-2743938.4955473244,4701321.7285955595,3312909.8461757703,0,0
2025/01/17 08:50:30.000,-2743933.9895647787,4701317.574449315,3312908.764794887,0,0
2025/01/17 08:50:31.000,-2743902.671785742,4701331.048602739,3312908.2741131186,8,1
2025/01/17 08:50:32.000,-2743903.3395037246,4701332.485883184,3312909.2301110844,8,11
2025/01/17 08:50:33.000,-2743900.2732107374,4701329.507562865,3312907.7161370427,6,1
2025/01/17 08:50:34.000,-2743900.781924387,4701328.870410513,3312907.173421529,8,1
2025/01/17 08:50:35.000,-2743901.41577277,4701329.597933001,3312907.8393376293,8,1
2025/01/17 08:50:36.000,-2743929.46022911,4701315.902858446,3312908.25310074,0,0
2025/01/17 08:50:39.000,-2743915.718870353,4701363.663149856,3312918.553412626,10,118
2025/01/17 08:50:54.000,-2743903.818686148,4701334.644271439,3312902.3261100473,10,29
2025/01/17 08:50:55.000,-2743904.994571812,4701336.817673444,3312902.7178139794,10,29
2025/01/17 08:50:56.000,-2743904.664892285,4701337.36163075,3312902.483173653,10,29
2025/01/17 08:50:57.000,-2743905.771588758,4701338.960748301,3312903.1973220264,10,29
2025/01/17 08:50:58.000,-2743912.3491514954,4701352.085584425,3312880.037428865,11,1
2025/01/17 08:50:59.000,-2743903.753313023,4701336.253023161,3312904.3201689003,10,31
2025/01/17 08:51:00.000,-2743904.081183681,4701336.524411739,3312906.888366379,10,35
2025/01/17 08:51:01.000,-2743901.678777121,4701334.367766714,3312913.9820296206,11,10
2025/01/17 08:51:02.000,-2743903.8207095955,4701338.214297076,3312907.988555737,11,24
